lang,source,translation
xas,dĭgəttə kambiʔi jadajlaʔ ineziʔ. ,потом поехали в гости на лошади.
kjh,но пір кӧнекче… пір кӧнекті кӱн тооза одырып садып алӌаң полғам итсе.,"но по одному ведру за день, полностью просидев, продавала вообще-то."
kjh,"[kau1916f] ай, апчах кізібең не чуртап салғам.","[kau1916f] ай, со стариком только стала жить."
kjh,[erk1927f] что-то хлеба мало нарезала.,[erk1927f]
mhr,"кызытат имне конюкак,","и сейчас работает конюхом,"
kjh,ам лазарь ӧл парыбыстыр.,вот лазарь умер.
xas,"tăŋ iʔ togonoraʔ, iʔ iləm … (iʔ=) iʔ toʔnargaʔ!"" ","""сильно не работай, людей не бей""."
mhr,"вара чома колыш да,","жеребёнок подох,"
xas,kanžəbəj gibər-nʼibudʼ inezʼiʔ. ,поедем куда-нибудь на лошади.
xas,"""(em=) ej mĭlem!"" ","""не отдам!"""
mhr,а магазиныште калык тич улыт.,а в магазине полно народу.
mhr,"мемнаже эше изиш пел шагат наре шинчышна да,","мы посидели ещё немного, полчаса,"
bak,"šunan qarajəm, spalnyanəŋ išegendä nej qorɣan, штора, äðeräk =kenä məna itte qəbərlaj inde, jelberläp tora inde колышется.","потом смотрю на двери спальни эта, штора, штора, легонько так делает, шевелится, колышется вот, колышется."
xas,"dĭgəttə kambi, kambi. ",потом она идет-идет.
xas,"keʔbde oʔbdəbi, svʼetogəʔi (mĭmbi-) nĭŋgəbi. ","собирала ягоды, срывала цветы."
kjh,[lat1978f] а он пір класс тоозар?,[lat1978f] а после 11-го класса?
xas,"dĭ măndə:"" kutlim dĭ zajasəm. ","он думает: ""я убью этого зайца."
kjh,улуғ ӧкпеде: «прай тігі пастыхтарыңмаң хырызарға чӧрдім».,в большом гневе: «со всем вашим начальством ходил ругаться».
bak,"məna... š... ul... ana šul namað totqandar, allaɣa jaqənajɣandar.","кто читает этот намаз, приближаются к аллаху."
xas,"dĭgəttə dĭ sarbi, dĭ dĭm sarluʔpi. ","тогда он [его] развязал(?), тот его связал."
mhr,"мемнам кова веле ончен,","за нами бабушка присматривала,"
xas,dĭgəttə dĭʔnə ular mĭbiʔi. ,тогда ему дали овцу.
xas,dĭgəttə udam kĭškəbiem. ,потом я натерла руки.
mhr,вара продавецлан пурен,потом продавцом стал
mhr,[14] котелок.,[14] котелок.
mhr,эркын дене немда эҥер деке лишемыт.,потихоньку приближаются к берегу немды.
xas,dĭgəttə nüke pürleʔbə blinəʔi. ,а женщина печёт блины.
bak,gerojðar allejahənda madjar xaləqənəŋ küsep kilgän waqəttaɣə gerojðarənəŋ turahənda höjlänelär.,"на аллее героев рассказали о героях мадьярского народа того времени, когда они переселились."
xas,a dĭzeŋ edöbiʔi. ,"а они [козёл и баран] повисли [на ветке, зацепившись ногами]."
kjh,парбича пиӌе тіӌең полғаннар.,тётей парбичей называли её.
evn,ну тадук аранканмɔ умишканчэӈнэрэв.,ну потом понемногу выпиваем.
bak,šulaj... bula.,так... будет.
kjh,[evs1979f] мин же ирте пазыбысхам.,[evs1979f] я же рано нажала.
bak,"ana qorban taba, ana šunəŋ ösön bötön waq =qəna bulɣan gönahtar jarləqaw ösön keše qorban sala, šul allanəŋ räxmätenä ölgäšew ösön.","вот находят курбан (жертву), вот поэтому чтобы (бог) простил все мелкие грехи, какие есть, люди режут курбан, чтобы достичь благодарности аллаха."
mhr,"тушто мый шуко киенам, кум арня ала-мо олаште.","там я долго лежала, три недели что ли там."
kjh,"а вот мының алнындағы кізі, если аны чоохтапча, а значит аны ол мультфильмні, ол кізі чооғын истіп алып, суурғаннардыр ба?","а если человек, который раньше жил, если это рассказывает, значит, этот мультфильм, послушав рассказ этого человека, сняли?"
mhr,"пареҥге, эре пареҥге дене иленна.","на картошке, на одной картошке жили."
mhr,[14] ом пале.,[14] не знаю.
mhr,торъялыште вот ик лида уло.,в торъяле вот одна лидия.
evn,****,****
kjh,"[mvk1924f] никтер пар охс, никтері.","[mvk1924f] коровы есть ведь, коровы."
mhr,кокам деке.,к [моей] тёте.
mhr,возымыжым.,запись.
bak,nuräxmät aɣaj huɣəšqa barɣan... barɣandə min bik jaqšə beläm.,"как брат нурахмет пошел на войну, я очень хорошо знаю."
kjh,"можно полған сілерге постарыңа даа ол тылаасты истіп аларға, ол хазых чӧрче ам.","можно было вам даже самим эти вести послушать, она жива сейчас."
kjh,[kau1916f] позыңның?,[kau1916f] своя?
xas,dĭn tolʼko sʼestrat ibi. ,у него только сестра была.
bak,"älege äsäjemdeŋ šul qustəlarə, äsäjemdeŋ qustəlarə, häjbät ular eš... eškä šäp ular.","на свадьбу приехали младшие братья матери, матери младшие братья, они хорошие, работящие."
kjh,"аны іӌем име ӧскірген анаң, ӧскіртірлер.","его мои родители растили потом, растили, оказывается."
kjh,а хорыхса даа хайдара ідик иртчең полтырлар хараа иирде дее.,"хотя и боялись, туда все равно проходили ночью, и вечером тоже."
xas,dʼü (tulleʔbə-) tĭlleʔbəʔjə. ,копают землю.
xas,"dĭ kuza bar togonorlia, togonorlia, a ĭmbidə naga. ","этот человек работает, работает, а у него ничего нет."
kjh,«ағаа кӧмес ле пир».,«ей только чуть-чуть дай».
evn,"""оhалвэ монңидакал!"" — гуннэ.
				","""камысы выделывай!"" – говорила"
mhr,[15] вара сӱан шотшым ыштенда мо?,[15] а свадьбу-то сыграли?
kjh,[emk1967f] хайдағ-да ӧрекен чоохтаптыр.,[emk1967f] какая-то старушка рассказывала.
xas,(di̮m-) v di̮mu. ,в дыму.
kjh,а еще ағас тоғызына пар килгем.,а еще на работе с деревом (лесоповале) побывала.
kjh,"тӧреем чапаев аалда, тадар тілінің саяннар тіп адалӌаң.","родилась я в деревне чапаево, которая по-хакасски называлась саяны."
evn,"ой, ēкун hэгды бичо̄н.","ой, какой большой был."
bak,bik jaratəp qaranəm.,смотрела с удовольствием.
mhr,такшым,так-то
kjh,"девчонки так раньше ходили, это уже не замужние девчонки.",
mhr,и ту участник войнылан шотлалтын.,и он считался участником войны.
bak,olatajəm kiskä tiklem kötöp ultərɣan =da qajtəp kitkän aldanɣan.,"дедушка сидел-ждал до вечера и ушел домой, был обманут."
kjh,[mvk1924f] а са… сабын оңнабинчам-а пір дее.,[mvk1924f] а мыло не помню вообще.
xas,"dĭ dĭn kambi, bazoʔ dʼorbi. ","она туда пришла, снова кричит."
kjh,[mvk1924f] анаң ибіӌекте аны хоорчазың нізе.,"[evs1979f] на огне, да?"
xas,"dĭ tănan bögəlbə kĭškələj sabənzi, (vixotkazi). ","он тебе потрет спину мылом, мочалкой."
bak,ä ul waqətta tön ine.,а тогда была ночь.
evn,"«ну hо̄ эӈэhӣчиhинчэ нуӈан, ага».",«он очень сильный».
xas,segi bü bĭtleʔbəʔjə. ,чай пьют.
evn,"ну, пэктырэ̄лим.","ну, я выстрелил."
kjh,«всё равно ӱгрет полбассым мин сині» тіпче «чыл тооза».,«всё равно не смогу учить я тебя» говорит «целый год.
xas,kabarləj. ,хватит.
kjh,[evs1979f] а?,[zgb1935f] аборт дел...
mhr,нина сергеевнаже манеш:,нина сергеевна говорит:
kjh,апчах-та…,старик…
kjh,инеліг киигім чуртапча игір ағастың тӧзінде.,косуля моя с матерью живет под кривым деревом.
kjh,"пір айға читіре ыраххы тайғада чуртааннар, аң-хус ат полбааннар.","жили целый месяц в тайге, им не попадалось ни дичи, ни животных."
evn,****,****
xas,"""iʔ šamaʔ, iʔbəʔ už! ","""не ври, лежи уж!"
xas,i nagurgöʔ amnolaʔbəʔjə. ,и они живут втроем.
xas,sĭre moləj. ,станет белый.
xas,dĭgəttə amnobi amorzittə. ,потом он сел есть.
evn,бэлэдеңкӣвун.,мы помогали.
bak,nej жидкий šəjəq масса barləqqa kilä inde.,"это, жидкий, жидкая масса появляется."
mhr,"пасулан вет удобрений да мойн лийын огыл ожно, только шур.","для поля ведь удобрения не было, только навоз."
bak,"häm... tege, iŋ berense jäšäp kitkän babaj kilep ala =la, и все.","потом... приходит тот самый первый старик, у которого она жила и от которого ушла, и забирает ее, и все."
kjh,[zgb1935f] че.,[evs1979f] видно?
evn,"ӈэнэчо... нулгӣдечо̄вун гороло̄, полмесяца, месяц дулинман бēган, ой, месяц.","аргишили далеко, полмесяца, полмесяца."
xas,"ara iʔ bĭdeʔ, a to ulul ĭzemnie. ","не пей водку, а то голова будет болеть."
mhr,тушто ужынам мый пирым.,там видела я волка.
xas,măllaʔbəjəʔ. ,смотрят.
xas,iʔ kuroʔ! ,не сердись!
kjh,а олар аны пілбееннер нізе пір дее.,а они об этом вообще не знали ведь.
bak,"no aðaqtan inde nejðän jajlap jajlap ul ergämdä ultəra, min за рулем šulaj jajlap jajlap.","в конце концов, как-то потихоньку он рядом сидит, а я за рулем, так потихоньку."
mhr,"тыштыжат коштынут улмажын,","и тут, оказывается, ходили,"
kjh,[smm1950f] <?>,"ну я это говорила, когда он сказал, что там же в том же японском ресторане работает вот."
xas,dĭn kola dʼaʔpiʔi. ,там рыбу ловили.
kjh,[avd1959f] конечно.,"[zgb1935f] а-а, ну тогда, да, правильно, ага."
xas,"dĭ dĭʔə šobi, bazoʔ kirgarlaʔbə: ",он оттуда пришел и опять кричит:
kjh,тігіде тура кистінде еще толдыра арбуз и огород…,там за домом полно арбузов и огород...
evn,hуна̄див эдӯ рентгендӯ hавалдерэн.,дочь здесь на рентгене работает.
xas,"kubaʔi kürbi, kürbi. ","лыки драл, драл."
kjh,"[mdc1963f] а, ниме, тоғыстаңар чоохтадыңар ба, хайди тоғанғазар?","[mdc1963f] а про работу рассказывали, как работали?"
bak,"han ukroptarðə qərqəp halɣandan huŋ jəwalarðə, huɣandarðə qərqəp halaŋ.","потом, после того как, порезав, положили укроп, режешь и кладешь перья и головку лука."
xas,"nada dʼabəsʼtə"". ","надо поймать [его]."""
kjh,"мында чуртаам, я, <?> пастап алып аңӌыл чол тоғыс чуртаабыс піс.","здесь жила я, … сначала в анчил чоле жили и работали мы."
kjh,"ну, чииттерзе парбизаң, а пожилой, пожилойларза парчазың, ӧрекеннерзе парчазың.","ну, к молодым не идёшь, а к пожилым, к пожилым идёшь, к старушкам идёшь."
bak,"injärgä barɣas ul äle qəš könö urmanda ešläj, urman kiθä.","приехав в инзер, он еще зимой работает в лесу, рубит лес."
xas,"(m-, m-, miʔnʼi-, miʔnʼi-) miʔnʼibeʔ kola tolʼkă. ",у нас рыба только…
bak,"ä kešeneŋ julənda təwəw äðere äjtelgän teläktär aldaɣə tormošonda bik ður, ður ähämiät bulalər tip, ähämiätle bulalər tip ujlajəm inde.","а пожелания, которые сказаны сразу после рождения на пути человека в предстоящей жизни очень большое, большое значение будут (иметь), наверное, я так думаю."
kjh,"хай… ноо чылдаң сығара, ол име, чирді собственностьха чізе, аларға чізе, амға читіре албаан кізі хайдадары кӧп полтыр.","как… с какого года, это, землю в собственность-то, брать-то, до сих пор землю не оформивших людей очень много, оказывается."
xas,"dĭgəttə pʼeš nendəbiʔi, amnolaʔbəʔjə i (ejü-) ejüleʔbəʔjə. ","потом они затопили печь, сидят и греются."
kjh,[tna1930f] но.,[tna1930f] да.
xas,dĭgəttə (nʼe-) несколько dʼala kambi. ,прошло несколько дней.
bak,nikaxtəŋ ös šartə bar.,у никаха есть три условия.
xas,"dak nada dereʔ kudonzittə, bile. ","так надо так ругаться, плохо!"
xas,zdărowă igel! ,здорово!
kjh,"[erk1927f] вот столда даа пірее име турча, пір дее име кӧрбинчем.","[erk1927f] вот на столе даже что-нибудь стоит, ничего не вижу."
evn,са̄тырава ӣвсёво гаса.,выделанного песца взял.
kjh,всё?,всё?
bak,nu šulaj =ða =la unəŋ jäne ošonda torop qalɣan ul.,но его душа все же там осталась.
mhr,вара уже эркын ӱдыр-шамыч тольыч.,потом потихоньку пришли девушки.
mhr,"кочкынам мый,","я наелась,"
xas,"iʔ (baza), a to dʼibige. ","не (?), а то горячо."
kjh,"минде дее полза, «мин іспинчем» тіпчем, а… «іспессім».","у меня даже если бывает, «я не пью» говорю, «не буду пить»."
bak,"at, kümäk attar ošolaj jartə =ɣəna nej halam mikän, besän mikän jartə =ɣəna nejgä, sanaɣa halɣandar =ða, ošolaj töðölöšöp.","лошадь, много лошадей вот так наполовину только это, солома ли, сено ли наполовину только на сани положили, вот так выстроившись."
mhr,[1] как свадьбы не было?,[1] как свадьбы не было?
mhr,"о= капка ончылно, капка ончылно шинчем да тушто эҥыжвондо улыт да эҥыжвондо лышташ канде лийын шинче.","у ворот, у ворот сижу, там малинник растёт, и вдруг листья стали синими."
mhr,а йымалныже...,а под ним...
mhr,"и галяжын ӱдыржо, уныкаже нылытын миеныт","и галина дочь, внучка, вчетвером гуляли"
mhr,"пока ходить мо= могла, все ходила, молилась.","пока ходить могла, всё ходила, молилась."
xas,"măjagən, (uʔ- uj-) urgo (uj-) măja. ","на горе, на большой горе."
mhr,"а потом мы платить не хотели, мертвому-то дак.","а потом мы платить не хотели, за мёртвого-то."
bak,anaw nimä inde ul mäldäge uqətəwsəlarən =da šul =uq =qəna.,"вот что, и учителей того времени так же..."
kjh,ол асип апчах…,этот асип старик…
kjh,[evs1979f] чарба ӱгре и талған.,[evs1979f] суп с крупой и талкан.
bak,"ular urəndarən almaštəralar: xäðer əsənənda raja irekkä səɣa, на свободу, ä klavdija törmälä qala.","они меняются местами, теперь на самом деле рая выходит на свободу, на свободу, а клавдия остаетcя в тюрьме."
xas,iʔgö pʼe kambi bar. ,много лет прошло.
xas,mănzittə tănan sagər buga? ,рассказать тебе сказку про черного бычка?
kjh,мының алнында сидік полған.,трудно раньше было.
mhr,туге манеш ыле.,так говорил.
bak,"serviskä šəltərattə, ä servis... šəltəratqajnə jawap birðelär.","позвонил в автосервис, а сервис... позвонил, ответили."
mhr,эре зернатым,всё время зерно
xas,"dĭgəttə dĭzeŋ koʔbsaŋ nuʔməluʔbiʔi, šobiʔi. ","тогда эти дочери побежали, вернулись."
kjh,апчахтың ӧрекені ӱреп парған.,у старика жена умерла.
mhr,тыштыже осал уло маныт ыле —,"говорили, что здесь обитает злой дух —"
evn,****,****
bak,här ber bajram hajən saqərɣan... bajramda här keše mal hujəp itkä saqəra.,"каждый праздник приглашенный... на празднике каждый человек зарезав скот, приглашает на мясо."
xas,dĭn kubiʔi ši dibər. ,там увидели пещеру.
kjh,"вот, пірее чистек ниме тееріп алзаң, анаң пірее иргі кі... хазахтардың иргі <?> алчазың базардаң.","вот, когда какую-нибудь ягоду соберёшь, потом какую-нибудь старую [одежду] у русских покупаешь на базаре."
kjh,"[zgb1935f] мин андада даа пілбинчем мин. анаң, тігі ниме, но отыс пис чылдаң, хырых пір чылда…","[zgb1935f] я тогда даже не знаю. потом, это, но тридцать пятого года, в сорок первом году…"
kjh,[lmp1941f] нойма?,[lmp1941f] что?
kjh,"хайди пастых тоғынғанын, хайди чаа полған тоғынғам пастыхтардаң.","как начальником я работала, как, когда война была, работала в начальниках."
evn,"тар эдо... тодёдо̄hун hэргӯдӯ дундэдӯ бисё, — гуннэ, — эрэ эмэвум hэлэ эр о̄hалба, ирэксевэ, са̄тырэвэ эрэ.","чтобы вы поверили, что я был на нижней земле, — говорит, — вот я принес эти камусы, шкуру, песца."
bak,вот hiŋä на hünderø.,"вот те на, выключай."
xas,urgaːba šobi. ,медведь пришел.
bak,"üðemdeŋ jondoðom tip nejtä torɣajnəm, ošolaj nej həmaq.","своей звездой считала, так похоже на это..."
bak,"ну я... min anda ber jəldan ašəw jäšänem, ber nämä =lä hiðmänem.","я там больше года проработала (букв. 'прожила'), ничего не чувствовала."
xas,noʔ detləbəj. ,сено привезем.
mhr,"но тудо да, кертеш.","но он да, умеет."
evn,"бригадир о̄нэ, хавалдяшя̄в, хавалдяшя̄в.","я работал, став бригадиром."
mhr,кок тоя уло.,есть две палки.
mhr,[2] мм.,[2] мм.
xas,"dĭ sadarbi, dĭ iʔgö aktʼa mĭbi. ","он продал, тот дал много денег."
mhr,кум ий тунемым да вара,"три года проучилась, и потом"
kjh,хыстар полза… хыс… хыс пала мағат…,когда девочки… девочка хорошо…
kjh,фамилиязы хайзы?,фамилия какая?
xas,dĭn iʔbəbi kunolzittə. ,она [дочь] легла там поспать.
xas,"pimnie kanzittə, dĭgəttə miʔnen (am-) amnobi. ","она боится зайти, (…) села."
xas,"dibər kambiʔi, dĭgəttə šobiʔi maːʔndə. ","они пришли туда, потом пошли домой."
kjh,[tna1930f] хайди полча?,[tna1930f] что с ней?
evn,дюктэ бидерэ.,вдвоем они находятся
evn,то̄ли хулукокон бишо̄в.,тогда я маленький был.
evn,тарит орон кэтэ иргифшё̄н амаскӣ.,поэтому оленей много воспитывали раньше.
xas,"šiʔ kalladʼürbileʔ, măn oʔbdəbiam bar. ","[когда] вы ушли, я собралась."
xas,"deʔpi, bar mĭbi. ","привёз, всё подарил. [?]"
kjh,"олардың хыринда загон тут… тудыл партыр, улуғ ол.","возле них загон был огорожен, большой он."
bak,xäðer =ðä šul soqorðo fatima soqoro tip äjtälär.,и теперь эту яму называют ямой фатимы.
xas,"bar nagur kulambiʔi, все трое. ",все трое умерли.
evn,боконон.,догнал.
kjh,[mdc1963f] пiстiң яша хуруғ килген.,[mdc1963f] у нас яша без ничего приехал.
bak,"beððe taksi kötöp tora ine, ošo taksilar menän awəlɣa säɣät unɣa kilep indek.","нас ожидало такси, на этих такси к 10-ти часам приехали в деревню."
xas,"udam dʼükəmnie, nada kădəsʼtə. ","рука у меня чешется, надо почесать."
kjh,"[evs1979f] а чох, кирек чоғыл.","[evs1979f] а нет, не надо."
kjh,"вот как раз андада, име, ол тадарлар, казактар андары хыстыр салғанда, мында... чонмаң чӧптезіп алып, стёпка майнагашевсары алдыра ам…","вот как раз тогда, это, эти хакасы, когда казаки их туда вытеснили, здесь посоветовавшись с народом, к стёпке майнагашеву…"
kjh,но.,да.
evn,мунэ эпкӣл гада.,нас не берут.
bak,"а потом... huŋənan älbittä min asəwlandəm =da qəsqərəbəraq äjtkäjnem, mašinanə šäp tuqtattə =la.","потом, конечно, я рассердилась, повысила голос, он машину резко остановил..."
kjh,"ну анаң, ну, пилібохтір ол, что ол тағ ээзінің палалары іди.","[lat1978f] у нас здесь говорят, что встречаются, а в верх-аскизе..."
kjh,[emk1967f] а…,[smm1950f] он в семьдесят втором году закончил.
mhr,шинчамланат ито предлагатлен огытыл операций ышташ.,и на глаза и то не предлагали делать операцию.
xas,köžetsnəktə (noldə-) nuldʼit. ,поставь это на окно (?).
kjh,"где-то... так... хайда-да ол чибіргі алты или чибіргі читі числода кірген… больницаа чатхан, пока анализтер сдала она анда.","где-то... так... где-то она двадцать шестого или двадцать седьмого числа легла… в больницу легла, пока анализы сдала она там."
mhr,[2] оскансолашкыже.,[2] в оскансолу.
xas,"măn dĭʔnə embiem beškeʔi, kajak mĭbiem, aktʼa mĭbiem. ","я положила ему грибов, масло дала, деньги дала."
xas,bar tărdə tăn nĭŋgəluʔləl. ,да шерсть твою вырву.
xas,"""a kamən dĭ dʼünə iləj, a šiʔ nʼergöluʔpibeʔ"". ","«а когда он к земле нагнётся, вы улетели [=улетите]»."
kjh,мының алнында машина толдыра тартлап хапчалар хайди ол… чайғызары.,"раньше много машин скопнив, собирали, как это… летом."
kjh,[emk1967f] еще хайдағ ниме чоохтаӌаң пирерӌіксер?,[emk1967f] еще что вы еще рассказали бы?
xas,(aʔ-) băʔpi. ,вырезал [подошвы].
evn,"би аӈим, ӈо̄лэлим.","я это, испугалась."
kjh,"[zgb1935f] анаң тігі ниме, андада машина чӧрбеӌең, нізе.","[zgb1935f] так это, тогда машины не ездили ведь."
kjh,[mvk1924f] варвара? а ол кемнің хызы?,[mvk1924f] варвара? а это чья дочь?
bak,"šulaj =ða unəŋ həjərə tawðar taw bujlap qajtəp kitä, qərqtə, irändek tawðar aša.","так ее корова пошла домой по горам, через горы крыктытау, ирендык."
xas,"""a šiʔ tože nʼergöluʔpileʔ"". ",«а вы тоже улетели [=улетите]».
mhr,"[15] это ведь уже третий да дом, маньыч, построили-то?","[15] это ведь уже третий дом, да, ты сказала, они построили-то?"
mhr,"нурышто ынде мый аҥам шӱрем,","на поле я землю бороню,"
bak,həjlajðar bula inde.,угощали раньше.
mhr,теве кӧ ойлыш…,кто же говорил…
mhr,[15] давлений <ылын>?,[15] давление?
bak,"ularðəŋ arahənda köräš, izgelek menän jawəzləqtəŋ köräše bara.","между ними борьба, идет борьба между добром и злом."
mhr,"ик мурымат мурен отыл, манеш».","и ни одну песню не спела», — говорит."
xas,da dʼaktə molaːmbiam. ,и я стала старой.
kjh,анаң ол кізее пірее име сыйлапчазың.,потом этому человеку что-нибудь даришь.
kjh,"ой, чоо кӱлісчелер, «сыннаң даа» тіпчелер.","ой, очень смеются, «и правда» говорят."
xas,amnobiʔi sagəštət il iʔgö. ,жило много глупых людей.
xas,"""dʼok, ej amnobaʔ! ","""нет, мы не будем жить!"
mhr,"«бездетныйым тӱлыман, — манеш, —","«налог на бездетность надо платить, — говорит, —"
xas,"dʼorbi, dʼorbi, kajeldə saʔməluʔpi kadəlgəndə. ","плакала-плакала, и её слеза упала на его лицо."
xas,oldʼa ibiem. ,одежду [им] покупала.
xas,"""no, tüj măna kanzittə tănziʔ nekuda, maləm dön"". ","""ну, теперь мне некуда с тобой идти, я останусь здесь."
mhr,вот.,вот.
mhr,"[14] пӧрдалам ыле манын, мый ом шинче.","[14] что я валялась (от боли), я не знаю."
evn,hаялэ идӯдо̄ тукдо̄.,нету нигде так-то.
kjh,"а чаптыков иван тіп кізі полған, секретарь, а кізее чапсынӌах кізі полған, тігі ниме, чоохчыл.","а чаптыков иван человек был, секретарь, а к людям прилипчивый человек был, это, разговорчивый."
kjh,"вот «азығың тимненіп ал, та пар» тіпче «арбатызары».","вот «еду приготовь, да иди» говорит «в арбаты»."
kjh,"кисчең кип-азах чоғыл, кип-азах толдыра, кис полбинчаң.","надевать одежды нет, одежды много, надеть не можешь."
kjh,"хызыӌахтар пеере чыылча, аӌалары пеере килче нізе, ме… меең аӌаларымза.","девочки здесь собираются, старшие братья сюда приходят ведь к моим старшим братьям."
xas,"bile kuza jakše kuzan ibi kujnek, uja, i bar ĭmbi, bar. ","плохой человек у хорошего человека взял рубашку, мясо, и всё."
xas,kambiʔi nagurgoʔ. ,пошли они втроём.
mhr,участкыште иленна кок ий.,на участке два года жили.
xas,"""ajirliom, uʔbdaʔ"". ","""люблю, вставай!"""
evn,тадук-та̄ туг-до̄ тадӯ бусо.,потом так-то он там умер.
bak,"šulajtəp qəðəq qəðəq nämälär bulɣanə bar, šulaj.","вот так, смешные-смешные случаи бывают, вот так."
xas,(dĭn=) dĭn sĭjdə ĭzemnie. ,у него сердце болит.
mhr,[2] угу.,[2] угу.
xas,"uja, kola mĭnzərbiʔi. ","мясо, рыбу варили."
xas,šobi onʼiʔ nükenə. ,пришел к одной женщине.
xas,tsar bar nereʔluʔpi. ,царь испугался.
kjh,матабох тоғынғабыс.,мы сильно работали.
xas,što dăre ibi. ,что было так.
kjh,"[mvk1924f] ол листке, листке идіп алӌабыс.","[mvk1924f] на этом листе, на листе делали."
bak,jöð =ðä jetmeš at menän paradta üttelär.,на 170 лошадях прошли парадом.
xas,"onʼiʔ măndə:"" măn mu băldəlim"". ",один говорит: «я ветку сломаю».
xas,радуга nulaʔbə. ,радуга стоит.
mhr,[2] ындыже тынар омат керт.,[2] сейчас я болею.
xas,šobi. ,она пришла.
kjh,"иністең инчем, киріп пардым, таға паза сых полбассым.","спускаюсь по склону, постарела я, на гору больше не поднимусь."
kjh,анда іліг тастаӌаң чир пар.,там есть место для окропления.
bak,ular... ularðəŋ dürt ulə bulɣan tej.,они... у них было четыре сына
xas,kabarləj. ,хватит!
mhr,"но авам силом марлан пуыш вара,","но мама насильно выдала замуж,"
evn,минӈӣ орорви биӈкӣтын.,у меня (=мои) олени были.
mhr,сусырген толшо-шамыч…,которые вернулись с войны раненые…
evn,вот тарит надо hэвэкӣвэ всегда помнить.,вот поэтому надо всегда помнить бога.
mhr,"[2] «чает кӱлеш?» — манам да,","«не надо», — говорит."
bak,"''лучше heðgä öjgä звонить itøegeð, kilhendär, un litr benzin kitä ös jöð täŋkä, чем ike meŋ tülägänse''.","""лучше вам позвонить домой, пусть приезжают, десять литров бензина выйдет в триста рублей, чем заплатить две тысячи""."
kjh,"іди тоғынғабыс нізе, хыс… чай тооза, хыс тооза, ол кирзоваймаң.","так работаем ведь, все лето, всю зиму, в этих кирзовых."
kjh,хайди ӧскезің кічиӌекте?,как ты росла в детстве?
kjh,тастындағы сенектің имезін піди ит салтырлар.,наружнюю эту (дверь) у сенцов так сделали.
kjh,ну піди андағ чабал хус полған полар.,"[smm1950f] большая птица была, наверное."
kjh,"[vtt1937f] а мында пілбинчем даже, чӧрче бе чӧрбинчелер бе.","[vtt1937f] а здесь не знаю даже, ходят или не ходят."
kjh,[evs1979f] я.,здесь в тридцатилетнем возрасте фотографировалась.
xas,"nüket măndə:"" gijen tăn krupa?"" ",жена говорит: «где твоя крупа?»
kjh,"ам пилен халас, нойма, килче, алып ал.","теперь готовый хлеб, что, приходит, покупай."
xas,dĭ dĭm toʔnaːrbi da xvostə … ,он ударил ее и [отрезал ей] хвост.
kjh,"позым чӧрге… чӧрініп пар.., піліп алғам.","сама, езди… ездив, узнала."
kjh,"«кригорийдың хызы мин кӧр полбассым, <сірер> мин дее ӧл парзам, парып кӧрерзер» тіптір.","«дочь григория я не смогу увидеть, а вы, когда я умру, поедете посмотрите», говорил."
kjh,"а ол как раз, ниме, пу холӌа сыхчатса, аның тӱзер чирде мӱзік хазың полған.","а он как раз, это, когда по этому логу поднимаешься, на месте спуска высокая берёза была."
bak,zöxrä ajɣa qarap äjtkän.,зухра посмотрела на луну и сказала:
xas,oroma amnaʔbə. ,сметану [стащит и] ест.
xas,kabarləj. ,хватит.
xas,da kudonzlaʔbə (to) (men=) mendə. ,и ругается на собаку.
xas,"tăn, kudaj, kudaj. ","ты, бог, бог."
kjh,"хырых кӱн может чӱзерге, но хырых чыл даа чӱс полбас.","сорок дней может плыть, но сорок лет же не сможет плыть."
bak,"ä məna xäðer nej... allaɣa šökör, xäðer... üðeŋ nisek teläjeŋ, как хочешь, так делаешь.","а вот теперь это, хвала господу, теперь... как ты сам хочешь, как хочешь, так делаешь."
evn,гундем:,говорю:
kjh,"ам, тізең, аар-пеер чӧр полбинчам.",но теперь туда-сюда не могу ездить.
evn,"эhикокон-до индэрэн акӣм, сашка гэрбӣсӣ, агӣсӣ, нӣсӣ, hутэсӣ.","и сейчас живет (там) мой старший брат по имени сашка, с женой, с этим, с ребенком."
mhr,куд шочшым ыштенна.,шестерых детей родили.
mhr,[2] ушемнурын кӱсотыжо уке.,[2] у ушемнурцев нет рощи.
kjh,а чир имее чарабас кізілердің палалары ідик имее чарабас чуртағлапчабыс.,а дети совершенно ни на что не годных людей также ни на что негодные живем.
evn,нуӈан гунэн.,он сказал.
bak,"ä bəna tatarðar, ular üððäreneŋ telen bötä jerðä =lä onotmajðar, üððäreneŋ telendä höjläšälär.","а вот татары, они свой язык повсюду не забывают, говорят на своем языке."
evn,"экумайэ-да булта̄йи булта̄деңа̄т, оронди хурумӣ.","хоть какую добычу, оленями пойдя, добудем."
mhr,[1] а что-нибудь смешное на работе было?,[1] а что-нибудь смешное на работе было?
evn,элэватын отнесли.,все отнесли.
evn,"бурэн-да̄, тар-да̄ манаврэн, ило̄-кэ одян?","так он умер, кончился, куда же он денется?"
xas,"dĭzeŋ bar kaknarlaʔbəʔjə, što măn dăre dʼăbaktərlaʔbəm. ","они смеются, что я так говорю."
kjh,"полыбысча, а анаң, сым піди полып име идібіссем, ағырин-ағырин анаң иртіс парыбысча.",
xas,a to bostə ineʔi naga. ,а то своих лошадей нет.
