id,lang,source,translation
8077,kjh,"«хайди полтыр, апчах, пу пала?» теенде,","«что случилось, старик, с этим ребёнком?», когда сказала,"
8078,xas,"эх, gibər, gibər. ","эх, где, где…"
8079,xas,"""kanaʔ"". ",«иди!»
8080,bak,"[ksg] beððeŋ mäset... mäsette beððä... məna ošo awəldan səqqan professor firðäwes ɣilmitdinovnanə belägeðme? belägeðme, ɣilmitdinovna?","[ksg] нашу мечеть... у нас мечеть... вот, знаете выходца из этой деревни профессора фирдаус гильмитдиновну? знаете, гильмитдиновну?"
8081,mhr,[1] не возражаете.,[1] не возражаете.
8082,kjh,[emk1967f] ам валеркаа іди тоғазарға.,[emk1967f] сейчас с валеркой (который косит) надо встретиться.
8083,bak,[rrg] nisä urənɣa birðegeð?,[rrg] вы в сколько мест сдали (документы)?
8084,mhr,ӱдырыштым,"дочек,"
8085,xas,bostə kalləʔi. ,сами ходили.
8086,kjh,[evs1979f] вот сілерде хос... хозып аларға и апарарға.,[evs1979f] вот вас соединить и везти.
8087,evn,тар мӯт оптыhинивкӣ-да̄ — тариӈилин арувкӣл бисол.,"этой водой брызгал, и эти его [глиняные фигурки] оживали."
8088,xas,dĭgəttə bar süʔməluʔləl. ,тогда ты подпрыгнешь.
8089,xas,jezerik ibileʔ bar? ,вы были пьяные.
8090,xas,"kuvas koʔbdo, ugandə oldʼat iʔgö. ","девушка красивая, одежды у нее много."
8091,xas,i daška naga. ,и больше ничего.
8092,xas,"""da vot, măn sʼimam dʼazirlaʔbəm"". ","""да вот, я глаз лечу""."
8093,bak,"xatənə... ну, жена... xatənə sibajða qala, ul kilgändä.","его жена оставалась в сибае, когда он приехал."
8094,kjh,"и истір, най ла матап аахтаптыр, сурынтыр.","и слышал, очень сильно кричал, просил."
8095,xas,dĭgəttə bar aspaʔi mĭnzərləʔbəʔjə. ,они кипятят котлы.
8096,evn,****,****
8097,kjh,а юрковтың ордына председатель правления колхоза тороков андрах халған.,а вместо юркова преседателем правления колхоза тороков андрах остался.
8098,evn,****,****
8099,kjh,[evs1979f] пу хайдағ чылда?,
8100,xas,i amzittə iʔgö ige. ,и еды много.
8101,mhr,"в церкву, и","и церковь, и"
8102,xas,i uzleʔpiʔi. ,и упали.
8103,xas,dĭgəttə dĭzeŋ (bareʔ) nezeŋ udatsiʔ barəʔluʔpi. ,потом те женщины взмахнули руками.
8104,kjh,"хайди за анда… олар удурлапчалар, примерно, вот сілерзе килгем чи.","как же там… они встречают, примерно, вот к вам пришла."
8105,xas,"a il oʔbdəbiʔi, (dĭ=) dĭ esseŋ ibiʔi, udazaŋdə sarbiʔi. ","а люди собрались, этих детей взяли, связали им руки."
8106,xas,nabəʔi oʔb šide nagur detləj. ,уток трех принесет.
8107,xas,"ambi, a dĭ uge kirgarlaʔbə. ","съел его, а тот всё равно кричит."
8108,kjh,[erk1927f] тадарлар пар ба анда?,[erk1927f] хакасы есть там?
8109,evn,то̄лӣ-до̄ болоктовон аhӣлам.,"тогда-то, осень когда настала, я женился."
8110,kjh,"исчем: музыка ойнапча, ол ниме істінде комнатада, еще тың аахтапча магнитофон.","слышу — музыка играет, в комнате сильно орёт магнитофон."
8111,xas,dĭbər (pəŋ-) pʼaŋdəbiam. ,написала туда (?).
8112,mhr,"[15] ну значит, пӧртыш пурен шуктен отыл тые, тӱнӧ…","[15] ну, значит, ты в дом не успела зайти, на улице…"
8113,mhr,"вара пятьдесят четвёртыйышто, пятьдесят пятыйыште, декабрьыште, толын улынна уже.","потом в пятьдесят четвёртом, пятьдесят пятом в декабре уже приехали."
8114,kjh,"ол чох кізілердің малларын чыып, анаң колхоз мал ӧскірген.","у этих бедных людей скот собрав, потом колхоз скотину вырастил."
8115,kjh,«аламаар» теем «мині ам?».,«возьмёте» говорю «меня теперь?».
8116,mhr,"[2] вот мур= мурыж= м=,",[2] вот
8117,evn,hэлэко̄кӯнди нуӈанман даснаван оран.,из железа сделал крышку.
8118,xas,i alomaʔ. ,не шуми! [?]
8119,kjh,"[mdc1963f] пiс аны киӌее <сахтаанбыс>. пiстің  <?> же ниме, чатча.","[mdc1963f] мы вчера его дождались. у нас это, [свинья] лежит."
8120,xas,"dĭgəttə dĭ aladʼaʔi (da bə-), koʔbdot aladʼaʔi embi, skavaradandə. ",тогда она оладьи… дочь оладьи положила на сковороду.
8121,kjh,"ой, интересно было.","дед мне, это, поросёнка, свинку такую дал."
8122,bak,elek kön itewe qəjən buldə =la ul.,раньше трудно жилось вот.
8123,kjh,[egs1982f] чоохтаам нізе.,"ну, потом узнал он так, что это дети хозяина гор."
8124,kjh,"«озырыхчы кізіні адай сӱрче» тіпче, «кӱлкіӌі кізіні ооллар сӱрче» тіпче.","«за вспыльчивым человеком собака бежит», говорит, «за смеющимся человеком парни бегут», говорит."
8125,mhr,[15] полшаш ок кӱл?,[15] не надо помочь?
8126,bak,"šunan qaranəm =da mäjtäm ""aha, bəl mineŋ öjöm tügel bit"".","потом посмотрела, говорю, ""ага, это же ведь не мой дом""."
8127,kjh,"[zgb1935f] а пыно нимені астыр салчам, ниме, асчаң кӧзенекті.","[zgb1935f] а вот это заставляю открывать, это, открывающееся окно."
8128,mhr,"[1] а как это, ну в смысле это в какие-то специальные дни или","[1] а как это, ну в смысле это в какие-то специальные дни или"
8129,xas,"dĭ süjö nʼergöleʔ šobi,. ",эта птица прилетает.
8130,mhr,уремышке лектыч.,вышли на улицу.
8131,xas,"""döm ujam amnəm, döm ujam amnəm"". ","""это мясо я съем [сегодня], это мясо я съем [завтра]""."
8132,xas,paʔi bar kuvas moləʔi. ,деревья красивые станут.
8133,mhr,"[14] изи вет,","[14] маленькая ведь,"
8134,xas,"dĭgəttə bazoʔ, nagur dʼala, bazoʔ kandəgaʔi. ","потом снова, на третий день, снова они уходят."
8135,mhr,вара мыйын имньым куралаш колтышт.,потом мою лошадь пахать отправили.
8136,kjh,"путин име прай, свечі хабызып, церковьта турчалар.","путин и прочие все, зажигая свечи, в церкви стоят."
8137,kjh,"халах чізе, халах полча нізе пылғастырӌаң.","весёлка-то, весёлка бывает ведь для размешивания."
8138,xas,"a bostə kalladʼürbi, kalladʼürbi, ej molia kuzittə. ","а [мама] ушла, [бабушка] не могла ее найти."
8139,bak,jelkähe bögölöp töškän arqahə hənəp töškän.,"плечи согнуло, а спина как бы сломалась."
8140,xas,"no, dĭzeŋ măndəʔi:§ ","ну, они говорят:"
8141,kjh,"ол казактар анаң анда тудып, адын тінін, тінін пеере палғап, андада таштып большая река полтыр, анда салыбыстырлар.","эти казаки, потом там поймав, уздечку коня, уздечку сюда завязав, тогда таштып большая река была, туда спустили."
8142,bak,ikense törlö äjtkändä qəð jaɣənan bulɣan parlə kešelär ber nej.. uðaqtar tip atala inde.,"если сказать иначе, по-другому, со стороны девушки семейные пары это... называют uðaq..."
8143,kjh,іди.,так.
8144,mhr,"если что,","если что,"
8145,kjh,[evs1979f] а сипті хайди чиис итче?,[evs1979f] а сип (сарану) как еду готовят?
8146,xas,dĭgəttə šobiam dĭbər. ,потом пришла туда.
8147,mhr,"изи йочатлан,","маленькому ребёнку,"
8148,kjh,[smm1950f] ну мыннаң пірее онӌа килограмм алып аларға чарир…,[smm1950f] ну здесь по десять килограмм взять можно…
8149,kjh,мының алдында пу тигей тағдың кистінӌе дей… тигейдің кистінӌе имес…,раньше за этой горой тигей… не за горой тигей…
8150,bak,artənan iŋ huŋɣə muzəka däresenän imtixan birergä qaldə.,напоследок оставалось сдать самый последний экзамен по уроку музыки.
8151,mhr,ходила.,ходила.
8152,evn,как раз бушшэдечо̄в то̄лӣ.,я как раз болел тогда.
8153,kjh,[evs1979f] хайдар?,[evs1979f] куда?
8154,bak,unan huŋ beloret qalahəna küstem.,после этого я переехала в город белорецк.
8155,xas,(kundla - kundəga -) kandəgam bar. ,"иду, всё."
8156,mhr,молодёжат улыт.,вот парни бегают к нам
8157,kjh,кип-азахтар толдыра ағыл пиртір.,одежды полно привез.
8158,kjh,[emk1967f] м-м. мындох чуртир на наверное.,"[emk1967f] а. здесь же будут жить, наверное."
8159,kjh,"азых ал чӧрерге надо, патерезе чӧрерге.","еду носить надо, на квартиру ходить."
8160,xas,"mănlia:"" amnolam dĭzi"". ","говорит: ""я буду с ним жить""."
8161,mhr,"[15] йочаже тунамже,","[15] а дети тогда,"
8162,kjh,аның ӱстӱнде пір апчах семьямаң чуртаан.,на нём один старик с семьёй жил.
8163,mhr,"мый шонем,","я думаю,"
8164,xas,"anbardə (unə ilem), embiem. ","я взяли муку в амбар, положила."
8165,kjh,а оды хысха міне мындағох арах.,"а он (покос) короткий, такой же, наверное."
8166,xas,dĭzeŋ ej öʔlieʔi. ,они меня не пускают.
8167,kjh,«ам хайраллирлар» тіпчем.,"«теперь будут охранять», говорю я."
8168,bak,"""alø inde ajqajəm"".","возьми, лунушка."
8169,bak,[rrg] äle qajða huŋ rämzilä?,[rrg] а сейчас где рамзиля?
8170,xas,dĭgəttə (dĭn=) dĭzen dĭn kuʔpiʔi si̮neʔi i uja tustʼarbiʔi. ,потом они убивали там (…) и солили мясо.
8171,xas,bar gĭda bar (iləm) ĭmbidə. ,я все беру (?).
8172,kjh,"хахтыр… хахтыртыр абам ағаа, а ниме, «ол харахмаң на кӧріп» тіпче «пілібіскен» тіпче.","пошаманил он ему моему отцу, а это, «он глазами только посмотрев» говорит «понял» говорит."
8173,kjh,[erk1927f] тульский область?,[erk1927f]
8174,kjh,"анаң ол хылатта апчах-то одырча, ікі апчах.","потом на скирде сидит старик, два старика."
8175,kjh,"[mvk1924f] чаах, хомай времяа орта, пір дее име итпеебіс.","[mvk1924f] нет, прямо в трудное время, ничего не делали."
8176,kjh,«почему ни разу не слышали?»,
8177,mhr,"и изишак гына ложашым,","и добавляешь немного муки,"
8178,kjh,"ноға? іди астапчанда, ирік чох, тігі, тоғынарға.","почему? когда так голодаешь, поневоле, это, работать приходится."
8179,kjh,и ещё ноймалары пістің родта?,и ещё что в нашем роду?
8180,kjh,"[emk1967f] ну, ну. вот ханкире.",
8181,kjh,"и, главное, істох толғаан тіпчеткен.","и, главное, живот тоже крутило, говорил."
8182,xas,i ular tojirluʔpi i deʔpi. ,и овцу украл и принёс.
8183,xas,noranə paʔlaːmbi. ,залезла в нору.
8184,mhr,кӱнчыла шӱдыраш,прясть пряжу
8185,bak,"конечно... уже... mineŋ interes kütärelgäjne inde, unda nimä ikän ul.","конечно, уже у меня уже появился интерес, что там такое."
8186,bak,"[rtk] beräj jergä kerep kiter barəber, ös fändän nisä bal unəŋ?","[rtk] куда-нибудь поступит все равно, по трем предметам сколько баллов у него?"
8187,kjh,"садып, тӧленерге, страховка, пу нимелері… а мал тутырбинча.","продав, раплачиваться, страховка, эти вещи… а скот не разрешают держать."
8188,evn,****,****
8189,xas,(xatʼel=) kambiam aptʼekanə. ,ходила в аптеку.
8190,kjh,"чарылыс парып, так чалғыстан чуртаан ол.","разведясь, так одна жила она."
8191,kjh,[vtt1937f] а? ниме.,[vtt1937f] а? это.
8192,kjh,"анаң… піс экзаменге иртен килгенде читі часта, прайзыбыс очередь, ну, очередьке тур салғабыс.","когда мы утром пришли в семь часов на экзамен, все встали в очередь."
8193,kjh,[evs1979f] я?,[evs1979f] да?
8194,kjh,[evs1979f] сосха.,[evs1979f] свинья.
8195,xas,dʼibige bü. ,горячая вода.
8196,mhr,"умшам вел пеш кошкен, диабететлан.","только горло сохнет, из-за диабета."
8197,evn,****,****
8198,evn,"hавалдерэв чопумошол, ну, шукшилрэ.","ходим, ну, на лыжах."
8199,kjh,"чаа соонаң прай… засуха полӌаң, ниме сыхпаӌаң.","после войны всё засуха была, ничего не росло."
8200,kjh,"кӧр, харағым-та ам хомай кӧрче, пір дее кӧр… кӧр полбинчам.","смотри, глаза-то мои теперь плохо видят, ничего не вижу."
8201,kjh,"а хайдағ чыллар, чылығ чыллар полған.","а какие годы, теплые годы были."
8202,xas,bar ĭmbi ileʔbə bar. ,он всё берет… 
8203,xas,"bostə (dʼünən-) dʼügən amnolaʔbə, a kut baška dʼünən amnolaʔbə serʼožkaʔizi. ","сама в земле сидит, а уши с сережками в другом месте."
8204,xas,dĭ koŋgoro. ,это колокол.
8205,xas,tibim (mĭne-) mĭləl măna nüdʼi kunolzittə. ,дай мне [своего] мужа на ночь поспать.
8206,mhr,"муж с двадцать седьмого был, семь лет служил тоже.","муж двадцать седьмого [года] был, семь лет служил тоже."
8207,kjh,[emk1967f] витёк-то ам уже ікінӌі служить… ікінӌі чылын служить полча нізе.,[emk1967f] витек-то сейчас уже второй служит… уже второй год служит.
8208,kjh,[vtt1937f] но.,"и, это, потом роди… матери наши когда на работе были, раньше кино показывать в клуб движок привозили на коне."
8209,xas,"""deʔkeʔ măna ipek. ","""дайте мне хлеба."
8210,kjh,"наңмыр піди чаапчатса, саапчабыс, анаң «обедке паралар, наңмыр най чаапча» апчахха тарынчабыс.","когда дождь так льет, косим, потом: «пойдемте на обед, дождь очень сильно идет,» на старика сердимся."
8211,mhr,ушкалым ныҥгайышт да мый шортын <нрзб> шоген кодым.,"коров перевели, а я стояла и плакала."
8212,evn,мо̄ртын hавалдяра.,сами работают.
8213,kjh,"(<?>) харын даа сағынчам, табаннар чоғыл ибде.","""вот хорошо,  - думаю, - парней нет дома""."
8214,kjh,"анаң мында канзычаков коля полған, чааға парғанда.","потом здесь канзычаков коля был, когда на войну уходили."
8215,kjh,"а мынымаң мағат кӧргем и хығырғам, и читала, писала, всё.","а этим хорошо видела и читала, и писала, всё."
8216,kjh,"анаң, тігі, ікі хызыӌах чӧрӌебіс, э ӱс, дорофеева зина еще.","потом, это, две девочки мы ездили обычно, э, три, дорофеева зина еще."
8217,xas,ularən kubaʔi. ,[их] овечьих шкур.
8218,evn,"дундэӈтыкӣи hурулми, hурупдеӈо̄в.","когда пойду на свою землю, унесу."
8219,xas,"""no, ej, no jaʔdə, ĭmbi tănan ajirial!"" ","«ну нет, ну ударь, тебе что, жалко». [?]"
8220,kjh,"лариса сӱрместіг, в общем, нимелер, суурынғабыс пӧлелер.","лариса с косичками, в общем, эти, мы фотографировались, двоюродные сёстры (по матери)."
8221,xas,sĭre (buž-) büžü bü molalləj. ,снег скоро станет водой [=растает]
8222,kjh,[zgb1935f] владивостокта.,[zgb1935f] во владивостоке.
8223,mhr,[15] а тушкыжо ончаш коштында мо?,[15] а вы туда ходили смотреть?
8224,xas,(măr-) măn urgajam šamandə mĭmbiem. ,моя бабушка пошла к шаману.
8225,evn,"«этэм аhӯра», —","«не буду трогать», —"
8226,xas,"""da örömem ambiam."" ",«да сметану съел.
8227,mhr,[13] вара «пеледыш» танцым,[13] потом танец «пеледыш»
8228,xas,gibər (alləl)? ,куда ты идешь?
8229,evn,"аӈ уркэдӯ уючэдедера аӈма, чипка̄ка̄нмэ.","это, у двери привязывали это самое, утку."
8230,xas,i bostə nuʔməlaːmbi dĭzeŋziʔ že. ,и сам с ними же и побежал.
8231,kjh,"товарлар алғлап алып, анаң, олған кип-азахтары тікклеп алып, ағылӌаңнар садарға пеере.","ткань купив, потом, детские вещи пошив, привозили сюда продавать."
8232,kjh,"анаң прайзына пірер ник пызаалығ, торбахтығ пиргем, пірер ат.","потом всем по одной корове с телёнком и с годовалым телёнком дала, по одному коню."
8233,kjh,пір хатап теербенге килгебіс алисанаң <?>,один раз на мельницу мы поехали с алисой.
8234,xas,"""tăn dön amnolaʔbəl. ","""ты тут сидишь."
8235,mhr,а мемнаже мом...,а мы это...
8236,kjh,"ол ан... ахпашевтең иртчебіс, «ам хайда парча?» сағынчам.","от (дома) этого ахпашева проходим, «теперь куда идет?» думаю."
8237,xas,dĭn kubi. ,там увидел.
8238,kjh,"и анаң ол чарда, ниме, тӱзінде образтар турӌаң полған.","и потом на этом яру, это, с краю иконы стояли."
8239,xas,"""da dăre mĭnliel"". ","""да так хожу""."
8240,xas,ugaːndə (nʼu -) nʼuʔnən kuzurie. ,наверху очень гремит.
8241,evn,"hэр hэргӯла̄ дундэла̄ бурум, гиркудяна, эмукин бултаденэ.","упал на нижнюю землю, когда ходил один, охотился."
8242,xas,"""no, surardə bünə kuzam!"" ","""ну спроси речного человека!"""
8243,mhr,тиде значит тыгай...,"значит, такой..."
8244,mhr,извините.,извините.
8245,kjh,хыс тудынмас.,девочек не державший.
8246,xas,kundʼo (ej iʔbəlaʔb- ej iʔbə-) ej iʔbəlem kunolzittə. ,долго не ложусь спать.
8247,xas,dʼibige (ku-) bü kămnabiam. ,налила теплой воды.
8248,xas,"iʔbəbiem, kunolluʔpiem. ","я легла, заснула."
8249,xas,"dĭgəttə mašina šobi, (amnobiaʔ- amnobiaʔ-) amnobiam. ","потом машина пришла, я села."
8250,xas,dĭ deʔpi (ets-) ešši. ,она принесла ребенка.
8251,evn,потом садиктӯ хавалим.,потом я работала в детском саду.
8252,kjh,[zgb1935f] апчанай сосед теедігіне.,"[zgb1935f] апчанай, сосед, вон там."
8253,xas,"măndə:"" spasiba tănan (s-) šo šojdʼo"". ","она говорит: «спасибо, туес»."
8254,kjh,"«мында іліг тастаза, пойзымға тастабинчабыс» тіпче, «и ол кизіг ахсына тастабинчабыс, а кӱрбізекке тастапчабыс» тіпче.","«когда здесь окропляем, не пойзыму окропляем» говорит, «и не этому кизиг ахсы окропляем, а курбизеку окропляем» говорят."
8255,kjh,"а мин ам хап кир салза, сағынчам «табырах ла идібісчең полза пу хапты».","а я, только она мешок занесет, думаю: «хоть бы быстрее она сделала этот мешок»."
8256,kjh,"[mdc1963f] а капуста нимеге, ӱгӱрсӱ нимеге, это, хурт кірбинче бе?",[mdc1963f] а на капусту и огурцы черви не лезут?
8257,xas,dĭ sarbi dĭm. ,тот его связал.
8258,kjh,килчеткенде ікі кӱн анда… витюхазар чӧртірлер.,"когда сюда ехал, два дня у него был, к витюхе ходили."
8259,bak,"šul irtä səqqan ul un higeð jäšendä, ösönsö balahə menän tujɣa barðə ul.","рано вышла замуж, в 18 лет, с третьим ребёнком приехала на свадьбу."
8260,xas,dĭgəttə šobiam maːʔnʼi. ,потом домой пришла.
8261,mhr,"шӱдӧ утла еҥ ыле, а кызыте","когда я приехала, более ста человек, а сейчас"
8262,kjh,"«уже всё, сердце отказывает» тіпче.","«уже всё, сердце отказывает» говорит."
8263,bak,"qəš könö -то beð asəqmanəq, потому что igen birälär, on bula -- no igen birgäs.","а зимой-то мы не голодали, потому что зерно дают, мука есть -- ну, раз зерно дают."
8264,xas,"""iʔ bĭdeʔ, a to ine molal!"" ","""не пей, а то станешь лошадью""."
8265,xas,ugaːndə kuvas igem tüj. ,теперь я очень красивая.
8266,xas,nada kanzittə măndərzittə. ,"надо сходить, посмотреть."
8267,xas,"a pʼetux mălia:"" ĭmbi (dʼorlaʔbəl), kanžəbəj!"" ","а петух говорит: ""что ты плачешь, пойдет""."
8268,xas,(šalaʔi-) kunolbiam. ,поспала.
8269,kjh,рукомойка тазы анда хап-хара ла.,таз рукомойки там чёрный-чёрный.
8270,mhr,"рвезе-влак кучен шогалыныт,","парни стоят держат,"
8271,xas,"kunolbiam, ĭmbidə ej kubiam. ","спала, ничего не видела."
8272,kjh,а пістің пу…,а у нас тут…
8273,kjh,"а, ну телевизордаң мультиктең кӧзіт полчалар нізе аны, улуғ…","а, ну по телевизору по мультику показывают ее. старшие…"
8274,kjh,"[evs1979f] <чох>, испеем.","[evs1979f] нет, не слышала."
8275,kjh,и умерла рано.,
8276,evn,орор манавулда.,олени кончаться стали.
8277,xas,"măndə: onʼiʔ kunə paʔkaʔ, onʼiʔgəʔ supsoʔ. ","говорит: ""в одно ухо влезь, в другое вылези""."
8278,xas,süt bar iʔgö. ,молока много.
8279,mhr,"ага, от вас-то там.","ага, от вас-то там."
8280,xas,i tüjö uge amnolaʔbəʔjə. ,и до сих пор все живут.
8281,kjh,[smm1950f] а. комната суурча полар.,"[smm1950f] а. комнату снимает, наверное."
8282,xas,a (dettə guda=) dettə gibər alləl? ,а потом куда ты пойдешь?
8283,kjh,мин анымаң хада тоғынмаам.,я с ней не работала.
8284,xas,"gijen dĭ turaʔi, šobiam, kuražanə. ","туде, где эти дома, я пришла, в куражу(?)."
8285,evn,а уситча̄н ленинградтӯ.,а училась она в ленинграде.
8286,kjh,[vtt1937f] ат теерізінзе бе?,[vtt1937f] в ат теризи?
8287,kjh,"«пір чӱс тоғызон» тіпче, «мӱзік».","«сто девяносто», говорит, «высокое»."
8288,kjh,[vrk1929f] чох.,[vrk1929f] нет.
8289,evn,ну а так чего...,ну а так чего...
8290,xas,dĭgəttə dön (nub - nulə-) (nuldlaʔbəjəʔ) bar maʔsiʔ i dön amnolaʔpiʔi. ,тогда они поставили здесь юрты и жили здесь.
8291,kjh,"то ли ол полған… нименең, чугунный имес.","то ли он был… из этого, не чугунный."
8292,xas,"da miʔ ugaːndə kănnaːmbibaʔ, bar tăŋ kănnaːmbibaʔ. ","и мы очень замерзли, совсем замерзли."
8293,kjh,"най ла мағат фот… молодые, ищо замуж, ниме, парбаан полғабыс.",
8294,kjh,"кадкада турған, чабых, мёдым чоғыл.","в кадке стоял, закрытый, мёда нет."
8295,kjh,"хайда парза, анда от итчем.","куда поеду, там огонь разжигаю."
8296,mhr,"вот ту суара кочкын, мыйын пагарем <нрзб> корштен ыле олаште.","вот те сухари когда я ела, у меня желудок потом болел в городе."
8297,bak,[fmj] qorotto uttan alaŋ...,[fmj] курут достаешь из огня...
8298,kjh,"степан майнагашев ол, име… ой...","степан майнагашев он, это… ой..."
8299,xas,(nüjnəbiem) bar. ,я пела.
8300,kjh,у меня и так давление.,"вот и мы, рождённые, из нас, здесь рожденных тима, я, в верхней деревне сколько-то человек, почти что не остаёмся."
8301,xas,dön nabəʔi nanʼergöluʔpi. ,тут утки прилетели.
8302,xas,"dĭ măndə:"" măn pimniem, dĭ măna išo kutləj, kuroləj"". ","тот говорит: ""я боюсь, он меня еще убьет, рассердится""."
8303,kjh,"аны алып аларға чӧртір, егор аӌааның оолғы.","его забрать хотел, сын дяди егора."
8304,mhr,ну ти дене <нрзб> жапшат эртен кайыш.,"ну, за этими приготовлениями время пролетело [быстро]."
8305,bak,ägär tege ižäb tuj mälendä buldənihä tuj dawam itep aləp kitä inde.,"если же этот вот никах будет во время свадьбы, то продолжается свадьба."
8306,evn,"аминми гаса̄н экунмэ, кружкэко̄нмэ чиктилвэ.","""отец брал это, кружечку, бисер""."
8307,kjh,а ікі оол саарбахтар мындағ халғаннар… оолғыӌахтар.,а два мальчика подростками такими остались… мальчишки.
8308,bak,han beð öjhöð torop qaldəq.,после этого мы остались без дома.
8309,kjh,«ну ладно» тіпче ікінӌі кӱнінде.,«ну ладно» говорит на второй день.
8310,evn,"нул..., нулгӣчōвун-тэ целый нулгӣв, итыкирвӣ ӈэнэвумдэк","аргишили-то целый аргиш, пока вещи свои отвозил он."
8311,evn,нуӈан эмэрэн.,он подходит.
8312,mhr,а хоронить-то потом не ходили вроде.,а хоронить-то потом не ходили вроде.
8313,kjh,"кӱскӱде пір мал соғыбысчам, олғаннарза пирібісчем.","осенью одну скотину заколю, детям отдаю."
8314,kjh,[emk1967f] а ол килограмм нинӌе сых парча тогда?,[emk1967f] а килограмм сколько выходит тогда?
8315,bak,"ä kem esä unda nasar eštär menän mawəɣa, ular nasar itep jäšäjðär.","а кто пьет, кто там занимается плохими делами, они живут плохо."
8316,kjh,ирлер сах пирӌең.,мужчины высекали.
8317,kjh,анаң наташа.,потом наташа:
8318,kjh,"[mvk1924f] пу хыринда, кірдох, аалдаң пу чағында.","[mvk1924f] с этой стороны, как въедешь, от деревни с этого краю."
8319,bak,"[gru] bašqort xalqə, boronɣo xaləq bularaq, törlö im-tomdarɣa, jolalarɣa, äjtemdärgä baj.","[gru] башкирский народ, как древний народ, богат разными традициями, заговорами и поговорками."
8320,xas,tospak badəbi tumo. ,кошка [захотела] покормить мышь.
8321,mhr,тюка-матюка.,тюка-матюка.
8322,kjh,"абамның абазы килтір, анаң аның пис оол тӧрептір, пір хыс.","отца отец приехал, потом у него родились пять сыновей и одна дочь."
8323,bak,tiðär unə aŋlaj... beðgä taɣə =la äjteleše bujənsa ingliz tele jaqən.,"они говорят, это понима... еще нам по звучанию близок английский язык"
8324,xas,nʼiʔnenə amnolbi. ,посадила на улице.
8325,bak,"kejäwðän ajərələp qajtəp kildem =dä küren-gä kittem, utən qərqərɣa.","разведясь с мужем, вернулась и уехала на лесозаготовку, рубить лес."
8326,mhr,"ой, тыште кашакын вара йӱына ыле погынен, пайремым ыштена ыле, тунам весела лийын,","ой, здесь мы собирались компанией и пили, устраивали праздники, тогда весело было,"
8327,kjh,"[evs1979f] пар, туңмам.","[evs1979f] есть, братишка."
8328,bak,äskeltem =genä bula.,чуть кисловатое будет.
8329,kjh,"[vtt1937f] а, ниме, мындары, аал тастынаң сығыбыссаң, ниме…","[vtt1937f] а, это, сюда, когда за деревню выйдешь, это…"
8330,bak,[rrg] direktorðanmə?,[rrg] у директора?
8331,kjh,[evs1979f] анаң?,[evs1979f] потом?
8332,bak,"вот ul šəttərha, там химический процесс происходит.","вот если прорастить, там химический процесс происходит."
8333,kjh,"анаң скорай хығыр… э-э, чох, через неделю… пір неделя пазынза анаң хығыртыбысхан скорый.","потом скорую позв… э-э, нет, через неделю… через неделю потом вызвала скорую."
8334,xas,"""da kăde măn tănan ilem? ","""да как я тебя возьму?"
8335,xas,(baža-) băzaʔ kadəldə büzʼiʔ. ,вымой лицо водой!
8336,mhr,"[15] ну кандаш эше может, латкокыт лийын огыл иканат.","[15] ну, восемь может быть, но двенадцати (пар) не было никак."
8337,bak,"eθe anda, baθəwðəŋ ber jaq sitenän ikense jaq sitenä səɣəp jetep bulmaj.","там жарко, с одного конца поля до другого не дойдешь."
8338,kjh,"ағам мееге, ниме, поросёнок такой свинку дала, дал.",я его растила.
8339,mhr,убивают.,убивают.
8340,mhr,"кӱзенат кочкам, тум-тум, воленат кочкам, тум-тум, руэнат кочкам, тум-тум.","залезу [на дерево] — съем, тум-тум, слезу — съем, тум-тум, срублю [дерево] — съем."
8341,kjh,"анаң кӧзірібіскен оларды, хыра тартыбысхан.","потом перевезли их, поле вспахали."
8342,xas,"măn (nʼilgöbiam) da ej bar … üge togonoriam, nʼilgösʼtə (na-) kădedə ej moliam. ",я слушала и не… я все время работаю и не никак не могу слушать.
8343,kjh,сали-сали мағат чуртапчан кізілерді значит іди и… апарғлабысханнар-а.,"чуть-чуть получше живущих людей, значит, так поувозили же."
8344,xas,"šobiʔi, mălliaʔi:"" tăn nüke bar dagaj sĭjgəndə"". ","они пришли и говорят: ""у твоей жены нож в сердце""."
8345,kjh,"мырха, таңахтар полча, мырха пирерӌік мин тоғынчан чонға.","яйца, курицы есть, яйца давала бы работающему народу."
8346,kjh,"хайда парған, анда саларға кирек.","куда уехал, там класть надо."
8347,xas,"""gibər kandəgal? ","""куда ты идёшь?"
8348,kjh,а мин андағ палаа хайди нянька полам?,я таким детям как нянькой буду?
8349,kjh,[evs1979f] а школаны мында тоосхазар?,[evs1979f] а школу вы здесь закончили?
8350,mhr,[2] а не знай!,[2] а не знаю!
8351,mhr,вот южгунамже вара шоналтет вот.,вот потом иногда и вспоминаешь [об этом].
8352,xas,i šobiʔi. ,и пришли.
8353,xas,"nada dĭm bădəsʼtə, a to dĭ püjölia bar. ","надо ее покормить, а то она голодная."
8354,xas,jakše erte! ,доброе утро!
8355,kjh,"ол пазох, тігі, чаағах парыбысхан.","он тоже потом, это, тоже на войну ушел."
8356,mhr,"имне ден мый, ту имне ден ныл ий работайышым.","на лошади, на той лошади, я четыре года работала."
8357,mhr,"икте коҥгамбачын унчыливуйын шогалтен,","один с печки спустил,"
8358,mhr,ӱлнӧ мучаш — микоян колхоз.,нижний конец — колхоз микояна.
